Postimees;https://www.postimees.ee/rss
ERR;https://www.err.ee/rss
Delfi;https://feeds2.feedburner.com/delfiuudised
Ekspress;https://feeds.feedburner.com/EestiEkspressFeed
Maaleht;https://feeds2.feedburner.com/maaleht
Ärileht;https://feeds2.feedburner.com/delfimajandus
Hingele Pai;https://www.hingelepai.ee/post?format=RSS
Geenius;https://geenius.ee/feed/
Äripäev;https://feeds.feedburner.com/aripaev-rss
Õhtuleht;https://www.ohtuleht.ee/rss
Digikapital;https://www.digikapital.ee/aktiivsus/feed/
Arvutimaailm;https://www.am.ee/rss.xml?destination=/&_exception_statuscode=404